tic_name            period       e_period     first_eclipse
tic00391947238     5.8336715     0.0000395     3357.867734
tic00391927564     0.5429176     0.0000063     3470.046279
tic00391927558     0.5429202     0.0000005     3360.918452
tic00391923287    19.2708333     0.0003250     3373.425117
tic00391922670     3.8095798     0.0000263     3355.755969
tic00391902612     4.5521652     0.0000059     3363.216481
tic00391821850     1.1494846     0.0000150     3354.453694
tic00391815950    11.0850938     0.0000525     3445.046878
tic00389920099     3.1817258     0.0000054     3356.947919
tic00389800678     8.8866588     0.0003287     3355.828395
tic00389746757     9.7661441     0.0004145     3364.058071
tic00389669829    16.9296000     0.0474000     3493.487000
tic00389572057    12.0981041     0.0000108     3448.635099
tic00388180430    15.9854700     0.0051640     3442.030994
tic00382517745    10.4410721     0.0000115     3363.069350
tic00382516893     2.3253444     0.0000126     3354.407042
tic00382514117     2.0027780     0.0001330     3493.676179
tic00382437417     2.4700000     0.0017000     3439.740000
tic00382437415     4.9391557     0.0000970     3373.557552
tic00382437407     4.9392884     0.0000311     3373.554543
tic00382269650     0.3751000     0.0031000     3386.416000
tic00382268993     1.4221311     0.0000037     3355.340140
tic00382268812     2.9661392     0.0000163     3354.591738
tic00382260147     5.7008992     0.0000622     3355.966452
tic00382260140     5.7011100     0.0163000     3387.904000
tic00382258128     9.7023581     0.0000373     3388.209126
tic00382245443     1.2309903     0.0000146     3354.965868
tic00382188882     4.8000435     0.0000451     3469.362423
tic00382158603     0.7653437     0.0000016     3469.016242
tic00382148258    11.5712949     0.0000298     3365.857120
tic00382101519     0.6722593     0.0000014     3355.401436
tic00382068562     8.0840000     0.0112000     3390.991000
tic00382067804    26.0887000     0.0491000     3391.699000
tic00382042754    25.8927061     0.0001020     3364.520352
tic00381979901     3.2543023     0.0002725     3355.546733
tic00381948745     1.5957437     0.0000035     3354.732102
tic00381925499     2.9656237     0.0000055     3357.038043
tic00380037078     3.3762451     0.0000481     3469.398161
tic00380036931    15.8127000     0.0647000     3472.790000
tic00376932771     4.0003356     0.0000848     3365.543452
tic00375275477     1.1367400     0.0000149     3571.469314
tic00375272366     0.7038000     0.0011000     3569.662000
tic00375271461     3.2174978     0.0000451     3572.618721
tic00375227966    12.4201000     0.0316000     3571.968000
tic00375180130     2.6020358     0.0000455     3468.759024
tic00375179587     8.1576215     0.0032227     3473.671106
tic00375176762     0.7537371     0.0000059     3545.423329
tic00375151660     0.6033166     0.0000017     3438.223447
tic00375150432    12.1685384     0.0027987     3462.514567
tic00375147924     0.5506635     0.0000021     3439.880902
tic00375144987     4.6973118     0.0001131     3440.321090
tic00375092714     1.1432862     0.0000046     3438.310902
tic00375091315     0.9670097     0.0000573     3438.908581
tic00375058760     7.1293734     0.0000099     3357.780210
tic00375035513     4.1159936     0.0000057     3360.193972
tic00375033166     0.4779550     0.0001000     3386.566000
tic00374995218    12.6525000     0.0333000     3499.059000
tic00374940426     0.8784577     0.0000030     3387.495378
tic00374860590     5.8642026     0.0000127     3359.150622
tic00374859582     1.3049641     0.0000011     3354.431732
tic00374856991    21.0704000     0.1084000     3389.693000
tic00373847954     0.6996299     0.0000018     3354.830468
tic00373847950     0.6996333     0.0000025     3354.830467
tic00373844472     0.9195555     0.0000114     3390.420419
tic00373530657     2.0813500     0.0003160     3354.336588
tic00372911986     5.3258869     0.0000286     3496.790881
tic00372911013     8.1839630     0.0004992     3496.233343
tic00372909935     3.6111034     0.0000242     3357.400140
tic00372909060    57.7878000     0.1259000     3362.510000
tic00372850788     0.4119000     0.0003000     3438.619000
tic00372850612     2.6129915     0.0000093     3355.916762
tic00372818426     2.8873115     0.0000330     3355.653652
tic00370887246     4.2490030     0.0000183     3572.173994
tic00370887243     4.2490077     0.0000124     3572.174142
tic00370699392     1.1764313     0.0000044     3571.518967
tic00370699390     1.1764282     0.0000057     3571.518967
